"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"162",162,"Gridley3","6,580","113",0,"9",NA,"2","102","196","54","124","18","2"
"163",163,"Grover Beach3","13,589","33",0,"4",NA,"7","22","345","67","242","36","2"
"164",164,"Guadalupe","7,318","9",0,"1",NA,"1","7","100","26","63","11","0"
"165",165,"Gustine","5,726","25",0,"1",NA,"1","23","142","52","70","20","0"
"166",166,"Hanford3","55,299","315",1,"23",NA,"58","233","2,012","275","1,504","233","5"
"167",167,"Hawaiian Gardens","14,629","86",2,"2",NA,"24","58","318","66","191","61","3"
"168",168,"Hawthorne3","88,410","628",6,"35",NA,"246","341","2,482","479","1,468","535","8"
"169",169,"Hayward","157,157","556",10,"71",NA,"298","177","4,483","729","2,366","1,388","30"
"170",170,"Healdsburg3","11,744","16",0,"4",NA,"0","12","239","37","190","12","0"
"171",171,"Hemet","84,030","605",10,"33",NA,"174","388","3,768","908","2,306","554","10"
"172",172,"Hercules","25,326","31",1,"1",NA,"12","17","392","113","214","65","0"
"173",173,"Hermosa Beach3","19,986","44",0,"7",NA,"12","25","585","121","423","41","0"
"174",174,"Hesperia","93,348","302",3,"18",NA,"83","198","2,227","574","1,275","378","17"
"175",175,"Hidden Hills","1,935","1",0,"0",NA,"0","1","8","1","6","1","0"
"176",176,"Highland","55,011","202",2,"20",NA,"58","122","1,242","407","534","301","20"
"177",177,"Hillsborough","11,559","1",0,"1",NA,"0","0","126","64","55","7","0"
"178",178,"Hollister","37,604","137",0,"16",NA,"19","102","530","117","316","97","4"
"179",179,"Holtville3","6,376","15",0,"0",NA,"2","13","100","26","72","2","0"
"180",180,"Hughson3","7,377","13",0,"0",NA,"1","12","154","39","79","36","3"
"181",181,"Huntington Beach","203,233","420",0,"52",NA,"117","251","4,942","723","3,846","373","23"
"182",182,"Huntington Park","59,668","386",1,"35",NA,"177","173","2,027","176","1,055","796","14"
"183",183,"Huron","6,818","38",1,"1",NA,"9","27","75","14","40","21","5"
"184",184,"Imperial3","17,338","5",0,"1",NA,"0","4","54","2","47","5","0"
"185",185,"Imperial Beach","27,341","88",0,"5",NA,"16","67","359","76","214","69","1"
"186",186,"Indian Wells","5,279","5",0,"0",NA,"0","5","150","33","105","12","0"
"187",187,"Indio","87,195","585",5,"28",NA,"128","424","2,112","454","1,187","471","4"
"188",188,"Industry","206","68",0,"1",NA,"29","38","1,050","154","718","178","4"
"189",189,"Inglewood3","112,450","775",7,"44",NA,"358","366","2,612","523","1,406","683","12"
"190",190,"Ione","6,804","7",0,"1",NA,"0","6","50","9","36","5","0"
"191",191,"Irvine3","258,198","144",2,"27",NA,"57","58","3,868","523","3,144","201","8"
"192",192,"Irwindale3","1,433","27",1,"0",NA,"8","18","166","38","109","19","2"
"193",193,"Isleton","834","4",0,"0",NA,"1","3","26","13","13","0","0"
"194",194,"Jackson3","4,593","15",0,"0",NA,"1","14","134","46","79","9","1"
"195",195,"Jurupa Valley","99,706","260",6,"5",NA,"91","158","2,860","443","1,579","838","15"
"196",196,"Kensington","5,329","1",0,"0",NA,"0","1","86","21","52","13","0"
"197",197,"Kerman","14,595","33",0,"0",NA,"6","27","394","68","296","30","0"
"198",198,"King City","13,755","61",2,"8",NA,"8","43","213","48","110","55","2"
"199",199,"Kingsburg","11,813","28",0,"2",NA,"8","18","340","97","165","78","0"
"200",200,"La Canada Flintridge","20,763","20",1,"7",NA,"6","6","287","106","169","12","0"
"201",201,"Lafayette","25,886","14",0,"2",NA,"5","7","523","49","433","41","0"
"202",202,"Laguna Beach3","23,485","76",0,"8",NA,"12","56","558","78","420","60","3"
