"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"102","Daly City","101,939","250",2,9,"105","134","1,804","332","1,152","320","17"
"103","Dana Point","35,888","66",0,2,"13","51","595","129","438","28","4"
"104","Danville","41,500","32",0,2,"10","20","531","91","406","34","3"
"105","Davis","63,292","99",0,18,"30","51","1,738","415","1,220","103","15"
"106","Delano","54,298","247",0,6,"55","186","1,651","773","446","432","59"
"107","Del Mar","4,554","19",0,1,"2","16","129","24","100","5","0"
"108","Del Rey Oaks","1,529","1",0,0,"0","1","57","6","50","1","0"
"109","Desert Hot Springs","25,309","374",3,8,"67","296","1,380","573","630","177","5"
"110","Diamond Bar","57,130","48",0,4,"14","30","808","250","480","78","2"
"111","Dinuba","21,094","177",1,2,"25","149","825","301","402","122","8"
"112","Dixon","17,518","69",0,11,"18","40","481","71","358","52","7"
"113","Dorris","833","3",0,0,"0","3","17","6","10","1","2"
"114","Dos Palos","4,951","48",1,3,"5","39","171","58","105","8","6"
"115","Downey","106,992","394",6,17,"199","172","3,956","656","2,372","928","4"
"116","Duarte","21,789","72",0,4,"24","44","440","115","249","76","2"
"117","Dublin","46,209","69",0,5,"20","44","720","122","526","72","2"
"118","Dunsmuir","1,779","5",0,1,"1","3","63","14","47","2","0"
"119","East Palo Alto","34,294","271",4,18,"103","146","846","364","248","234","0"
"120","El Cajon","94,311","387",0,15,"169","203","2,766","552","1,678","536","12"
"121","El Centro","41,535","197",1,7,"45","144","2,408","672","1,546","190","13"
"122","El Cerrito","22,263","134",0,2,"75","57","947","208","590","149","4"
"123","Elk Grove","142,330","529",2,14,"108","405","3,204","653","2,208","343","15"
"124","El Monte","121,884","600",3,27,"265","305","2,598","607","1,194","797","13"
"125","El Segundo","16,181","34",0,5,"17","12","541","141","360","40","2"
"126","Emeryville","10,207","128",0,2,"58","68","981","113","777","91","0"
"127","Encinitas","61,898","146",1,9,"37","99","947","216","639","92","5"
"128","Escalon","7,463","15",0,3,"1","11","179","54","110","15","0"
"129","Escondido","140,662","597",3,37,"212","345","4,033","743","2,460","830","19"
"130","Etna","764","0",0,0,"0","0","2","0","2","0","0"
"131","Eureka","25,143","184",1,17,"57","109","1,576","651","771","154","24"
"132","Exeter","10,048","22",0,3,"5","14","247","79","142","26","3"
