"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"193","Jackson","4,342","44",0,"3","3","38","163","65","76","22","1"
"194","Kensington","5,313","5",0,"0","2","3","121","21","80","20","0"
"195","Kerman","11,324","30",0,"0","3","27","410","100","230","80","4"
"196","King City","11,103","53",1,"7","5","40","446","155","229","62","5"
"197","Kingsburg","11,248","23",0,"1","6","16","428","81","240","107","2"
"198","La Canada Flintridge","21,187","19",0,"0","5","14","336","101","223","12","4"
"199","Lafayette","24,990","22",0,"0","15","7","493","119","317","57","2"
"200","Laguna Beach","24,344","48",0,"6","8","34","622","142","434","46","2"
"201","Laguna Hills","32,488","47",0,"1","19","27","630","113","466","51","5"
"202","Laguna Niguel","65,246","54",0,"3","13","38","645","118","486","41","10"
"203","Laguna Woods","18,458","10",1,"1","6","2","98","12","79","7","3"
"204","La Habra","59,860","182",2,"5","51","124","1,694","317","1,097","280","3"
"205","La Habra Heights","6,024","2",0,"0","1","1","101","38","50","13","2"
"206","Lake Elsinore","39,612","201",4,"13","55","129","1,573","299","955","319","2"
"207","Lake Forest","77,100","97",1,"6","25","65","1,104","205","793","106","18"
"208","Lakeport","5,288","23",0,"0","2","21","130","27","91","12","0"
"209","Lake Shastina","2,358","0",0,"0","0","0","27","4","23","0","0"
"210","Lakewood","81,192","407",4,"11","220","172","2,255","394","1,427","434","11"
"211","La Mesa","53,559","235",3,"8","111","113","2,497","447","1,459","591","16"
"212","La Mirada","50,087","108",2,"7","41","58","1,073","194","654","225","10"
"213","Lancaster","135,239","1,274",19,"56","432","767","5,027","1,539","2,440","1,048","46"
"214","La Palma","15,947","22",0,"0","11","11","308","89","200","19","1"
"215","La Puente","42,138","255",8,"7","76","164","853","194","378","281","2"
"216","La Quinta","38,576","101",1,"2","31","67","1,885","558","1,164","163","4"
"217","La Verne","33,484","60",1,"5","23","31","821","170","595","56","7"
"218","Lawndale","32,483","202",1,"7","76","118","535","152","237","146","11"
"219","Lemon Grove","24,341","170",1,"12","65","92","793","211","319","263","9"
"220","Lemoore","22,903","91",2,"9","13","67","643","110","448","85","15"
"221","Lincoln","33,099","57",0,"10","9","38","553","220","276","57","7"
