"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Sacramento","476,557","3,520","34","125","1,211","2,150","19,967","4,474","12,147","3,346","130"
"Salinas","154,413","1,027","21","41","488","477","4,906","1,218","2,606","1,082","29"
"San Anselmo","12,584","13","0","0","2","11","172","55","110","7","3"
"San Bernardino","214,987","2,022","47","56","803","1,116","10,510","2,809","4,991","2,710","48"
"San Bruno","42,002","85","0","11","29","45","961","128","690","143","0"
"San Clemente","65,089","75","0","6","24","45","839","175","603","61","3"
"Sand City","343","7","1","1","2","3","76","2","68","6","0"
"San Diego","1,338,477","5,529","47","304","1,517","3,661","31,700","5,902","19,188","6,610","183"
"San Dimas","33,923","51","0","2","14","35","668","141","471","56","3"
"San Fernando","24,039","77","3","2","25","47","380","70","220","90","1"
"San Francisco","820,363","5,777","69","108","3,484","2,116","38,898","5,317","28,242","5,339","207"
"San Gabriel","40,376","88","0","3","34","51","550","143","346","61","1"
"Sanger","24,827","269","3","13","30","223","1,041","260","646","135","3"
"San Jacinto","45,637","137","3","5","51","78","1,479","421","863","195","3"
"San Jose","976,459","3,547","45","280","1,208","2,014","28,463","5,206","14,498","8,759","176"
"San Juan Capistrano","35,449","59","0","3","13","43","519","102","380","37","8"
"San Leandro","86,869","437","2","15","271","149","3,585","699","2,094","792","14"
"San Luis Obispo","45,947","119","1","20","19","79","1,971","414","1,476","81","48"
"San Marcos","85,810","227","2","11","57","157","1,502","366","907","229","3"
"San Marino","13,364","13","0","0","3","10","183","68","111","4","0"
"San Mateo","99,303","261","0","13","81","167","1,876","285","1,448","143","6"
"San Pablo","29,884","277","7","7","145","118","1,459","375","575","509","3"
"San Rafael","58,854","191","0","14","84","93","1,785","360","1,132","293","19"
"San Ramon","74,013","45","0","3","13","29","850","146","633","71","10"
"Santa Ana","332,482","1,334","11","55","541","727","7,389","1,032","4,779","1,578","36"
"Santa Barbara","89,871","363","0","53","95","215","3,115","558","2,424","133","12"
"Santa Clara","119,360","221","0","10","61","150","3,306","584","2,273","449","17"
"Santa Clarita","179,248","342","1","30","96","215","2,742","616","1,822","304","18"
"Santa Cruz","60,902","433","3","34","83","313","3,585","527","2,794","264","21"
"Santa Fe Springs","16,492","99","2","3","42","52","1,272","207","855","210","1"
"Santa Maria","101,207","690","0","21","145","524","2,430","712","1,318","400","9"
"Santa Monica","91,215","395","2","23","151","219","3,398","586","2,634","178","10"
"Santa Paula","29,899","91","1","4","28","58","590","103","422","65","3"
"Santa Rosa","170,862","636","2","67","126","441","3,818","725","2,777","316","22"
"Santee","54,700","154","2","9","30","113","1,109","183","794","132","0"
"Saratoga","30,683","9","0","1","2","6","231","69","155","7","2"
"Sausalito","7,202","7","0","0","2","5","254","56","189","9","0"
"Scotts Valley","11,775","16","0","4","2","10","325","53","261","11","0"
"Seal Beach","24,764","17","0","1","5","11","545","135","387","23","1"
"Seaside","33,887","109","2","4","27","76","499","126","335","38","5"
"Sebastopol","7,512","8","0","0","2","6","170","40","122","8","2"
"Selma","23,753","208","2","14","45","147","1,218","312","606","300","4"
"Shafter","17,391","49","0","5","13","31","576","193","296","87","12"
"Sierra Madre","11,098","4","0","0","1","3","112","30","76","6","0"
"Signal Hill","11,198","43","1","3","15","24","536","87","362","87","2"
"Simi Valley","126,686","141","3","7","36","95","1,916","398","1,394","124","13"
"Solana Beach","13,181","24","0","0","5","19","313","79","210","24","0"
"Soledad","26,253","80","5","3","23","49","284","129","116","39","4"
"Solvang","5,332","5","0","0","2","3","63","15","46","2","0"
"Sonoma","10,841","27","0","0","3","24","193","51","142","0","1"
"Sonora","4,911","20","0","3","5","12","311","82","224","5","5"
"South El Monte","20,452","88","2","3","38","45","399","104","184","111","3"
"South Gate","95,966","553","9","15","265","264","2,545","410","1,217","918","10"
"South Lake Tahoe","21,586","148","0","10","27","111","544","152","360","32","0"
"South Pasadena","26,045","27","0","6","13","8","443","118","277","48","6"
"South San Francisco","65,006","111","0","12","29","70","1,321","351","782","188","23"
"Stallion Springs","2,540","6","0","0","0","6","9","3","5","1","0"
"Stanton","39,124","104","1","3","46","54","630","121","381","128","5"
"St. Helena","5,939","3","0","1","0","2","86","34","50","2","0"
"Stockton","299,105","4,630","71","90","1,556","2,913","15,258","4,416","8,339","2,503","68"
"Suisun City","28,593","57","2","6","18","31","558","116","372","70","6"
"Sunnyvale","143,606","170","3","14","71","82","2,555","524","1,696","335","22"
"Susanville","17,849","96","1","5","9","81","320","104","203","13","4"
"Sutter Creek","2,513","7","0","1","0","6","62","23","34","5","0"
"Taft","9,552","54","0","1","3","50","365","92","244","29","0"
"Tehachapi","14,766","59","1","4","9","45","472","210","233","29","0"
"Temecula","103,414","97","0","10","53","34","2,440","588","1,640","212","2"
"Temple City","36,148","38","0","2","16","20","354","116","201","37","4"
"Thousand Oaks","129,171","157","0","23","46","88","1,838","278","1,470","90","20"
"Tiburon","9,142","10","0","1","1","8","95","13","79","3","0"
"Torrance","147,851","190","4","17","92","77","2,690","529","1,823","338","5"
"Tracy","85,047","145","4","8","66","67","2,158","284","1,587","287","18"
"Truckee","16,304","22","0","4","2","16","232","61","157","14","1"
"Tulare","60,848","376","6","10","71","289","2,400","716","1,352","332","13"
"Tulelake","1,010","1","0","0","0","1","5","2","3","0","0"
